athlete_id,race_date,fidal_event,race_name,distance_m,official_time_seconds,official_time_text,official_performance_raw,surface_type,timing_type,category,placement,wind,city,source,source_url,analysis_scope,include_in_race_context,notes,confidence_level
single_athlete_001,2021-06-05,1000 metri,1000 metri - Venezia,1000,186.53,3:06.53,3:06.53,Pista,Elettrico,CM,4 su- 1,,Venezia,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2021-06-12,1000 metri,1000 metri - Noale,1000,206.25,3:26.25,3:26.25,Pista,Elettrico,CM,5 su- 1,,Noale,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2021-08-28,2000 metri,2000 metri - Venezia,2000,431.07,7:11.07,7:11.07,Pista,Elettrico,CM,5 su- 1,,Venezia,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2021-10-09,1000 metri,1000 metri - Venezia,1000,186.6,3:06.60,3:06.60,Pista,Elettrico,CM,4 su- 1,,Venezia,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2022-04-24,1000 metri,1000 metri - Venezia,1000,191.11,3:11.11,3:11.11,Pista,Elettrico,CM,5 su- 1,,Venezia,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2022-04-30,1000 metri,1000 metri - Caorle,1000,197.12,3:17.12,3:17.12,Pista,Elettrico,CM,8 se- 1,,Caorle,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2022-05-01,300 piani,300 piani - Caorle,300,44.75,44.75,44.75,Pista,Elettrico,CM,3 se- 2,,Caorle,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,sprint_middle,yes,,high
single_athlete_001,2022-06-02,1000 metri,1000 metri - Verona,1000,178.82999999999998,2:58.83,2:58.83,Pista,Elettrico,CM,3 su- 1,,Verona,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2022-06-11,1000 metri,1000 metri - Caorle,1000,182.6,3:02.60,3:02.60,Pista,Elettrico,CM,8 su- 1,,Caorle,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2022-06-12,300 piani,300 piani - Caorle,300,43.23,43.23,43.23,Pista,Elettrico,CM,2 se- 2,,Caorle,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,sprint_middle,yes,,high
